SKU,PartNo,Description,Dept,Category,Manufacturer,Onhand New,OnHand Used, Allocated,store_price,cost,total Value New,Total Value Used,desc1,desc2,desc3,desc4,desc5,desc1a,desc2a,desc3a,desc4a,desc5a
076683000262,CCI26,CCI 22 SHORT CB 100/5000,MERCHANDISE,AMMUNITION,CCI/SPEER,4,0,0,14.99,8.99,35.96,0,CB,,,,,Desc 1,Desc 2,Desc 3,,
020892211193,67625,WIN SC9NT    9MM    105 JFP SCLN 50/10,MERCHANDISE,AMMUNITION,,1,0,0,39.99,26.21,26.21,0,,,,,,Desc 1,Desc 2,Desc 3,,
076683000231,CCI23,CCI MAXI-MAG 22WMR TMJ 50/2000,MERCHANDISE,AMMUNITION,CCI/SPEER,1,0,0,18.99,11.48,11.48,0,Maxi-Mag,,,,,Desc 1,Desc 2,Desc 3,,
029465084394,0658-0787,Federal 6B Power Shok CF Rifle,MERCHANDISE,AMMUNITION,FEDERAL,10,0,0,35.69,23.82,238.2,0,,6MM RE,,,,Desc 1,Desc 2,Desc 3,,
029465089337,0658-0888,Federal GM308M Gold Medal Match CF,MERCHANDISE,AMMUNITION,FEDERAL,10,0,1,39.99,23.85,238.5,0,,308 WI,,,,Desc 1,Desc 2,Desc 3,,
047700070704,1505-9792,Remington R35WH3 Centerfire Rifle,MERCHANDISE,AMMUNITION,REMINGTON,4,0,0,58.99,35.88,143.52,0,,35 WHELE,,,,Desc 1,Desc 2,Desc 3,,
090255382501,8250,HOR 450MAR 350GR FP,MERCHANDISE,AMMUNITION,HORNADY,2,0,0,47.05,27.51,55.02,0,,,,,,Desc 1,Desc 2,Desc 3,,
020892201033,0512-1115,Winchester X3561 Super-X CF Rifle,MERCHANDISE,AMMUNITION,WINCHESTER,2,0,0,74.99,47.12,94.24,0,,356 WI,,,,Desc 1,Desc 2,Desc 3,,
090255862324,H86232,HRNDY SST 20GA 2.75 SABOT SLUG 5/250,MERCHANDISE,AMMUNITION,HORNADY,17,0,0,18.99,11.84,201.28,0,SST,,,,,Desc 1,Desc 2,Desc 3,,
047700017600,66033,REM SP413  7.5   EXPRESS         25/10,MERCHANDISE,AMMUNITION,,7,0,0,35.99,21.52,150.64,0,,,,,,Desc 1,Desc 2,Desc 3,,
762344011974,8MMBLANK,FIO 8MM BLANK,MERCHANDISE,AMMUNITION,,10,0,0,18.99,10.89,108.9,0,,,,,,Desc 1,Desc 2,Desc 3,,
076683052001,63308,CCI 5200 BLAZER BRASS 9MM 115FMJ 50/20,MERCHANDISE,AMMUNITION,CCI/SPEER,3,0,1,18.99,10.8,32.4,0,,,,,,Desc 1,Desc 2,Desc 3,,
090255385090,0953-0540,Hornady 8509 Dangerous Game Ammo,MERCHANDISE,AMMUNITION,HORNADY,1,0,0,72.99,53.05,53.05,0,,375 H&,,,,Desc 1,Desc 2,Desc 3,,
754908196715,MAGTECH 28GA,MAGTECH 28GA,MERCHANDISE,AMMUNITION,,5,0,0,14.92,7.46,37.3,0,,,,,,Desc 1,Desc 2,Desc 3,,
029465084493,FE3030B,FED PWRSHK 3030WN 170GR SP RN 20/200,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,34.99,20.8,20.8,0,PWRSHK,,,,,Desc 1,Desc 2,Desc 3,,
076683000491,1508-0055,CCI 0049 Rimfire Ammo,MERCHANDISE,AMMUNITION,CCI/SPEER,8,0,0,24.99,14.07,112.56,0,,17 HM,,,,Desc 1,Desc 2,Desc 3,,
029465060398,0658-0416,Federal F4570FS1 CFR 4570 Govt,MERCHANDISE,AMMUNITION,FEDERAL,1,0,0,69.99,45.6,45.6,0,,45-70 GOV,,,,Desc 1,Desc 2,Desc 3,,
818513003612,4463-0009,FNH SS197SR Ammo,MERCHANDISE,AMMUNITION,,4,0,0,53.99,31,124,0,,5.7X2,,,,Desc 1,Desc 2,Desc 3,,
716876154531,1211-0277,Barnes BB45CLT3 Vor-Tx Handgun Hunt 45LC,MERCHANDISE,AMMUNITION,BARNES,3,0,0,28.54,21.59,64.77,0,,45 L,,,,Desc 1,Desc 2,Desc 3,,
856086004728,Sinister Fire 380 In,Sinister Fire 380 Ammo self defense,MERCHANDISE,AMMUNITION,,10,0,0,19.99,9.04,90.4,0,,,,,,Desc 1,Desc 2,Desc 3,,
747115419906,WYG270130SR,WBY AMMO 270WBY 130GR SPITZ 20/BX,MERCHANDISE,AMMUNITION,WEATHERBY,2,0,0,42,33.46,66.92,0,Hntg,,,,,Desc 1,Desc 2,Desc 3,,
741569050173,0455-0269,PMC 357A Bronze Pistol,MERCHANDISE,AMMUNITION,PMC,2,0,0,39.99,24.75,49.5,0,,357 MA,,,,Desc 1,Desc 2,Desc 3,,
076683052308,1508-0032,CCI 5230 Blazer Brass Pistol,MERCHANDISE,AMMUNITION,CCI/SPEER,11,0,0,27.99,16.65,183.15,0,,45 AC,,,,Desc 1,Desc 2,Desc 3,,
090255383379,H8337,HRNDY 22-250  55GR VMAX 20/200,MERCHANDISE,AMMUNITION,HORNADY,1,0,0,24.99,17.7,17.7,0,Hntg,,,,,Desc 1,Desc 2,Desc 3,,
